AlkaSuperligaen,2005,Denmark,66376.81,82526.7
AlkaSuperligaen,2004,Denmark,29929.58,38089.71
Allsvenskan,2005,Sweden,68796.99,85535.73
Bundesliga,2018,Germany,1780000.0,1807781.02
Bundesliga,2017,Germany,2289683.54,2356691.68
Bundesliga,2016,Germany,2273198.65,2365453.6
Bundesliga,2015,Germany,1618259.39,1688153.56
Bundesliga,2014,Germany,1269931.03,1322527.32
Bundesliga,2013,Germany,1134758.36,1191772.14
Bundesliga,2012,Germany,951019.74,1020949.44
Bundesliga,2011,Germany,805869.57,888963.92
Bundesliga,2010,Germany,803721.8,906284.0
Bundesliga,2009,Germany,1074061.14,1222243.22
Bundesliga,2008,Germany,830681.82,960939.46
Bundesliga,2007,Germany,1108204.08,1321788.85
Bundesliga,2006,Germany,712955.67,866751.52
Bundesliga,2005,Germany,495936.07,616600.39
Bundesliga,2004,Germany,414106.28,527010.08
Bundesliga,2003,Germany,435154.64,564987.77
